autor,status,cena_wywolawcza,cena_sprzedazy,tytul,rok_powstania,aukcja,wymiar_x,wymiar_y,wielkosc,techniki,material,rok_pow_new
Józef Jarema,zarchiwizowany,3500,3500,KOMPOZYCJA, 1957,2020-11-03,20.0,29.0,580.0,"gwasz, kredki",karton,1957
Jacek Yerka,zarchiwizowany,500,4800,GĄSZCZ KALIGRAFICZNY-H, 2020,2020-11-03,29.6,21.0,621.6,ołówek,karton,2020
Waldemar Jerzy Marszałek,dostępny w Galerii,2500,0,POSTAĆ W CZERWONEJ CZAPCE, 2008,2020-11-03,36.0,34.0,1224.0,olej,płótno,2008
Eugeniusz Get-Stankiewicz  ,zarchiwizowany,800,800,OEDIPUS REX, 1980,2020-11-03,43.0,30.0,1290.0,serigrafia,papier,1980
Franciszek Starowieyski,zarchiwizowany,4500,6700,OŚMIOKROTNY PROFIL, 1999,2020-11-03,44.0,29.5,1298.0,pastel,papier,1999
Jacek Yerka,zarchiwizowany,500,5000,NAWAŁNICA, 2015,2020-11-03,14.8,19.7,291.56,"kredki, ołówek",karton,2015
Adam Hoffmann,dostępny w Galerii,1200,0,SCENA Z SATYREM, 1972,2020-11-03,35.0,49.0,1715.0,"kredka czarna, tusz pędzel",papier,1972
Jan Lebenstein,dostępny w Galerii,1200,0,COURSE PÉTRIFIÉE, 1973,2020-11-03,48.7,70.0,3409.0,litografia,papier,1973
Helena Zaremba-Cybis,dostępny w Galerii,4000,0,MARTWA NATURA Z DZBANAMI, 1976,2020-11-03,38.2,46.0,1757.2,olej,płótno,1976
Edward Dwurnik,zarchiwizowany,3000,7900,USTA CZERWONE, 2006,2020-11-03,18.0,13.0,234.0,olej,płótno,2006
Stefan Rassalski,zarchiwizowany,700,700,DON KICHOT WYDRWIONY, 1956,2020-11-03,33.3,42.0,1398.6,linoryt,papier,1956
Ryszard Stryjec,zarchiwizowany,800,800,PRO MEMORIA, 1980,2020-11-03,32.2,29.2,940.24,akwaforta,papier,1980
Jan Tarasin,zarchiwizowany,500,1200,BEZ TYTUŁU, 1990,2020-11-03,36.3,26.3,954.6899999999999,serigrafia,papier,1990
Victor Vasarely,zarchiwizowany,3500,3500,NEPTUNE E,,2020-11-03,40.5,40.5,1640.25,serigrafia,papier,
Edward Dwurnik,dostępny w Galerii,2000,0,ZAKOCHANY LISTONOSZ, 2000,2020-11-03,32.0,24.5,784.0,akwaforta,papier,2000
